GEOID,NAME,variable,estimate,moe,year
2459325,"Overlea CDP, Maryland",population,12959,1056,2021
2459375,"Owings CDP, Maryland",population,2393,643,2021
2459425,"Owings Mills CDP, Maryland",population,35170,2161,2021
2459450,"Oxford town, Maryland",population,862,194,2021
2459500,"Oxon Hill CDP, Maryland",population,18763,1818,2021
2459787,"Paramount-Long Meadow CDP, Maryland",population,2860,661,2021
2460275,"Parkville CDP, Maryland",population,30783,1778,2021
2460325,"Parole CDP, Maryland",population,18488,1151,2021
2460425,"Parsonsburg CDP, Maryland",population,313,211,2021
2460475,"Pasadena CDP, Maryland",population,31583,1926,2021
2460770,"Pecktonville CDP, Maryland",population,269,207,2021
2460950,"Peppermill Village CDP, Maryland",population,5314,702,2021
2460975,"Perry Hall CDP, Maryland",population,29165,1707,2021
2461075,"Perryman CDP, Maryland",population,2767,454,2021
2461150,"Perryville town, Maryland",population,4391,21,2021
2461400,"Pikesville CDP, Maryland",population,33549,1635,2021
2461700,"Pinesburg CDP, Maryland",population,447,249,2021
2461875,"Piney Point CDP, Maryland",population,939,325,2021
2462025,"Pittsville town, Maryland",population,1994,337,2021
2462100,"Pleasant Grove CDP, Maryland",population,252,116,2021
2462175,"Pleasant Hills CDP, Maryland",population,4104,415,2021
2462475,"Pocomoke City city, Maryland",population,4276,17,2021
2462575,"Point of Rocks CDP, Maryland",population,2277,392,2021
2462675,"Pomfret CDP, Maryland",population,462,209,2021
2462775,"Pondsville CDP, Maryland",population,71,54,2021
2462850,"Poolesville town, Maryland",population,5666,29,2021
2463075,"Port Deposit town, Maryland",population,586,164,2021
2463225,"Port Tobacco Village town, Maryland",population,2,4,2021
2463300,"Potomac CDP, Maryland",population,46891,1824,2021
2463375,"Potomac Heights CDP, Maryland",population,1115,359,2021
2463425,"Potomac Park CDP, Maryland",population,771,140,2021
2463725,"Powellville CDP, Maryland",population,134,93,2021
2463825,"Preston town, Maryland",population,951,248,2021
2463950,"Prince Frederick CDP, Maryland",population,2350,519,2021
2464000,"Princess Anne town, Maryland",population,3415,16,2021
2464375,"Pylesville CDP, Maryland",population,969,473,2021
2464475,"Quantico CDP, Maryland",population,224,242,2021
2464495,"Queen Anne CDP, Maryland",population,1360,417,2021
2464500,"Queen Anne town, Maryland",population,197,100,2021
2464568,"Queensland CDP, Maryland",population,1950,434,2021
2464600,"Queenstown town, Maryland",population,777,249,2021
2464950,"Randallstown CDP, Maryland",population,35641,2110,2021
2465150,"Rawlings CDP, Maryland",population,403,266,2021
2465312,"Redland CDP, Maryland",population,17965,1279,2021
2465550,"Reid CDP, Maryland",population,17,28,2021
2465600,"Reisterstown CDP, Maryland",population,27917,2028,2021
2466000,"Ridgely town, Maryland",population,1868,292,2021
2466150,"Ringgold CDP, Maryland",population,91,66,2021
2466275,"Rising Sun town, Maryland",population,2749,19,2021
2466400,"Riva CDP, Maryland",population,4477,498,2021
2466635,"Riverdale Park town, Maryland",population,7321,27,2021
2466762,"Riverside CDP, Maryland",population,6193,460,2021
2466850,"Riviera Beach CDP, Maryland",population,12012,1340,2021
2467000,"Robinwood CDP, Maryland",population,7662,1142,2021
2467400,"Rock Hall town, Maryland",population,1397,293,2021
2467500,"Rock Point CDP, Maryland",population,135,72,2021
2467675,"Rockville city, Maryland",population,67095,51,2021
2467950,"Rohrersville CDP, Maryland",population,224,207,2021
2468265,"Romancoke CDP, Maryland",population,1667,273,2021
2468300,"Rosaryville CDP, Maryland",population,11881,1489,2021
2468400,"Rosedale CDP, Maryland",population,20296,1377,2021
2468600,"Rosemont village, Maryland",population,319,86,2021
2468700,"Rossville CDP, Maryland",population,15633,1420,2021
2469200,"Sabillasville CDP, Maryland",population,390,179,2021
2469425,"St. George Island CDP, Maryland",population,516,482,2021
2469550,"St. James CDP, Maryland",population,4051,713,2021
2469675,"St. Leonard CDP, Maryland",population,454,127,2021
2469825,"St. Michaels town, Maryland",population,1483,307,2021
2469925,"Salisbury city, Maryland",population,32583,52,2021
2470175,"Sandy Hook CDP, Maryland",population,228,131,2021
2470300,"San Mar CDP, Maryland",population,318,145,2021
2470475,"Savage CDP, Maryland",population,7841,1036,2021
2470525,"Scaggsville CDP, Maryland",population,10658,1273,2021
2470775,"Seabrook CDP, Maryland",population,19558,1797,2021
2470850,"Seat Pleasant city, Maryland",population,4537,23,2021
2470900,"Secretary town, Maryland",population,648,236,2021
2471150,"Severn CDP, Maryland",population,53955,2602,2021
2471200,"Severna Park CDP, Maryland",population,39108,2288,2021
2471450,"Shady Side CDP, Maryland",population,4813,562,2021
2471460,"Shaft CDP, Maryland",population,371,136,2021
2471600,"Sharpsburg town, Maryland",population,671,163,2021
2471650,"Sharptown town, Maryland",population,719,153,2021
2472350,"Silver Hill CDP, Maryland",population,5717,865,2021
2472450,"Silver Spring CDP, Maryland",population,82472,2321,2021
2472887,"Smith Island CDP, Maryland",population,238,118,2021
2472900,"Smithsburg town, Maryland",population,2986,30,2021
2473075,"Snow Hill town, Maryland",population,2442,436,2021
2473325,"Solomons CDP, Maryland",population,2254,591,2021
2473350,"Somerset town, Maryland",population,1031,166,2021
2473600,"South Kensington CDP, Maryland",population,8566,669,2021
2473650,"South Laurel CDP, Maryland",population,27998,1752,2021
2474050,"Spencerville CDP, Maryland",population,1489,448,2021
2474282,"Springdale CDP, Maryland",population,5055,664,2021
2474350,"Spring Gap CDP, Maryland",population,49,46,2021
2474560,"Spring Ridge CDP, Maryland",population,5827,544,2021
2475025,"Stevensville CDP, Maryland",population,8359,848,2021
2475150,"Still Pond CDP, Maryland",population,110,91,2021
2475200,"Stockton CDP, Maryland",population,36,37,2021
2475650,"Sudlersville town, Maryland",population,420,148,2021
2475725,"Suitland CDP, Maryland",population,26375,1807,2021
2475810,"Summerfield CDP, Maryland",population,16002,1520,2021
2476450,"Swanton CDP, Maryland",population,0,13,2021
2476550,"Sykesville town, Maryland",population,4260,24,2021
2476650,"Takoma Park city, Maryland",population,17610,32,2021
2476675,"Tall Timbers CDP, Maryland",population,559,298,2021
