ncaa_id,TeamFull,Conference
635,Seton Hall Pirates Women's,Big East WBB
639,Siena Saints Women's,MAAC WBB
646,South Alabama Jaguars Women's,Sun Belt WBB
648,South Carolina Gamecocks Women's,SEC WBB
650,South Dakota Coyotes Women's,Summit WBB
649,South Dakota State Jackrabbits Women's,Summit WBB
651,South Florida Bulls Women's,AAC WBB
654,Southeast Missouri State Redhawks Women's,OVC WBB
655,Southeastern Louisiana Lions Women's,Southland WBB
665,Southern Jaguars Women's,SWAC WBB
663,SMU Mustangs Women's,AAC WBB
667,Southern Utah Thunderbirds Women's,WAC WBB
596,St. Bonaventure Bonnies Women's,A-10 WBB
674,Stanford Cardinal Women's,Pac-12 WBB
676,Stephen F. Austin Lumberjacks Women's,WAC WBB
678,Stetson Hatters Women's,A-Sun WBB
682,Stonehill Skyhawks Women's,NEC WBB
683,Stony Brook Seawolves Women's,CAA WBB
688,Syracuse Orange Women's,ACC WBB
690,Temple Owls Women's,AAC WBB
694,Tennessee Volunteers Women's,SEC WBB
692,Tennessee Tech Golden Eagles Women's,OVC WBB
703,Texas Longhorns Women's,Big 12 WBB
697,Texas A&M Aggies Women's,SEC WBB
699,Texas Southern Tigers Women's,SWAC WBB
670,Texas State Bobcats Women's,Sun Belt WBB
700,Texas Tech Red Raiders Women's,Big 12 WBB
709,Toledo Rockets Women's,MAC WBB
711,Towson Tigers Women's,CAA WBB
716,Troy Trojans Women's,Sun Belt WBB
718,Tulane Green Wave Women's,AAC WBB
719,Tulsa Golden Hurricane Women's,AAC WBB
9,UAB Blazers Women's,AAC WBB
108,UC-Davis Aggies Women's,Big West WBB
109,UC-Irvine Anteaters Women's,Big West WBB
